name,ttm,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990,10/31/1989,07/31/1989,04/30/1989,01/31/1989,10/31/1988,07/31/1988,04/30/1988,01/31/1988,10/31/1987,07/31/1987,04/30/1987,01/31/1987,10/31/1986,07/31/1986,04/30/1986,01/31/1986,10/31/1985
TotalRevenue,"4,386,400,000","1,211,600,000","1,125,800,000","1,059,700,000","989,300,000","1,039,200,000","952,400,000","913,100,000","885,700,000","899,300,000","842,700,000","796,800,000","735,500,000","737,300,000","660,900,000","611,700,000","559,900,000","553,800,000","515,300,000","501,800,000","485,700,000","478,800,000","489,600,000","550,700,000","511,900,000","648,300,000","599,800,000","609,500,000","646,500,000","664,600,000","618,000,000","637,100,000","592,500,000","586,600,000","555,200,000","561,700,000","570,400,000","606,900,000","548,000,000","568,700,000","588,600,000","592,400,000","548,600,000","546,300,000","528,300,000","527,700,000","476,700,000","472,800,000","474,600,000","456,100,000","416,900,000","414,900,000","425,800,000","489,800,000","607,100,000","619,500,000","598,800,000","599,100,000","538,400,000","525,900,000","508,600,000","497,400,000","456,800,000","449,600,000","436,000,000","416,835,000","378,262,000","372,984,000","355,119,000","356,155,000","300,158,000","279,578,000","297,876,000","295,310,000","233,862,000","211,705,000","210,766,000","195,516,000","188,701,000","211,401,000","229,327,000","254,034,000","216,357,000","231,360,000","245,740,000","264,896,000","221,849,000","226,250,000","223,329,000","220,182,000","202,100,000","202,900,000","194,900,000","189,200,000","177,200,000","186,600,000","187,200,000","181,800,000","162,200,000","154,100,000","119,000,000","115,000,000","116,600,000","128,700,000","136,300,000","126,300,000","128,500,000","140,700,000","138,700,000","129,600,000","108,200,000","110,300,000","106,600,000","102,100,000","98,200,000","103,600,000","101,700,000","98,600,000","93,800,000","85,500,000","75,400,000","58,100,000","73,600,000","72,800,000","69,500,000","62,300,000","62,400,000","58,000,000","55,200,000","50,000,000","46,400,000","43,400,000","38,800,000","34,000,000","30,300,000","27,300,000","25,800,000","23,000,000","20,200,000","18,800,000","17,300,000","15,500,000","13,700,000","12,200,000","11,000,000","10,000,000","7,700,000"
	OperatingRevenue,"4,232,700,000","1,144,200,000","1,088,300,000","1,033,600,000","966,600,000","980,500,000","924,200,000","892,400,000","865,100,000","857,300,000","806,200,000","767,200,000","707,800,000","687,400,000","631,400,000","587,000,000","531,600,000","553,800,000","515,300,000","501,800,000","485,700,000","478,800,000","489,600,000","550,700,000","511,900,000","648,300,000","599,800,000","609,500,000","646,500,000","664,600,000","618,000,000","637,100,000","592,500,000","586,600,000","555,200,000","561,700,000","570,400,000","606,900,000","548,000,000","568,700,000","588,600,000","592,400,000","548,600,000","546,300,000","528,300,000","527,700,000","476,700,000","472,800,000","474,600,000","456,100,000","416,900,000","414,900,000","425,800,000","489,800,000","607,100,000","619,500,000","598,800,000","599,100,000","538,400,000","525,900,000","508,600,000","497,400,000","456,800,000","449,600,000","436,000,000","416,835,000","378,262,000","372,984,000","355,119,000","356,155,000","300,158,000","279,578,000","297,876,000","295,310,000","233,862,000","211,705,000","210,766,000","195,516,000","188,701,000","211,401,000","229,327,000","254,034,000","216,357,000","231,360,000","245,740,000","264,896,000","221,849,000","226,250,000","223,329,000","220,182,000","202,100,000","202,900,000","194,900,000","189,200,000","177,200,000","186,600,000","187,200,000","181,800,000","162,200,000","154,100,000","119,000,000","115,000,000","116,600,000","128,700,000","136,300,000","126,300,000","128,500,000","140,700,000","138,700,000","129,600,000","108,200,000","110,300,000","106,600,000","102,100,000","98,200,000","103,600,000","101,700,000","98,600,000","93,800,000","85,500,000","75,400,000","58,100,000","73,600,000","72,800,000","69,500,000","62,300,000","62,400,000","58,000,000","55,200,000","50,000,000","46,400,000","43,400,000","38,800,000","34,000,000","30,300,000","27,300,000","25,800,000","23,000,000","20,200,000","18,800,000","17,300,000","15,500,000","13,700,000","12,200,000","11,000,000","10,000,000","7,700,000"
CostOfRevenue,"418,500,000","113,200,000","107,100,000","105,400,000","92,800,000","90,600,000","83,700,000","80,900,000","81,900,000","83,200,000","79,500,000","79,500,000","82,700,000","77,000,000","72,300,000","69,800,000","66,800,000","73,100,000","77,500,000","74,600,000","78,200,000","82,900,000","81,500,000","85,100,000","92,500,000","94,900,000","91,000,000","93,000,000","91,800,000","89,500,000","86,000,000","87,900,000","78,700,000","71,900,000","67,100,000","67,800,000","67,500,000","62,000,000","57,900,000","59,800,000","58,800,000","57,500,000","59,600,000","57,400,000","54,600,000","48,400,000","48,500,000","48,400,000","51,300,000","44,400,000","45,000,000","50,100,000","52,300,000","49,100,000","52,700,000","59,500,000","57,800,000","50,800,000","51,600,000","51,900,000","52,700,000","54,600,000","56,300,000","55,800,000","49,900,000","40,523,000","42,398,000","44,472,000","43,507,000","43,961,000","43,394,000","40,216,000","41,872,000","40,917,000","35,364,000","34,896,000","36,951,000","33,425,000","31,835,000","34,210,000","40,692,000","41,486,000","37,799,000","35,193,000","36,725,000","26,854,000","27,544,000","28,555,000","24,930,000","25,848,000","24,900,000","21,100,000","22,800,000","-9,700,000","9,100,000","6,400,000","7,400,000","6,200,000","6,100,000","6,700,000","7,900,000","5,400,000","6,200,000","8,100,000","9,800,000","11,000,000","9,500,000","10,500,000","10,600,000","11,600,000","7,700,000","8,000,000","9,400,000","10,400,000","9,400,000","11,400,000","11,600,000","16,100,000","14,300,000","9,300,000","7,600,000","6,300,000","6,400,000","5,900,000","5,800,000","3,600,000","3,000,000","3,200,000","4,200,000","3,600,000","3,900,000",,,,,,,,,,,,,,,,
GrossProfit,"3,967,900,000","1,098,400,000","1,018,700,000","954,300,000","896,500,000","948,600,000","868,700,000","832,200,000","803,800,000","816,100,000","763,200,000","717,300,000","652,800,000","660,300,000","588,600,000","541,900,000","493,100,000","480,700,000","437,800,000","427,200,000","407,500,000","395,900,000","408,100,000","465,600,000","419,400,000","553,400,000","508,800,000","516,500,000","554,700,000","575,100,000","532,000,000","549,200,000","513,800,000","514,700,000","488,100,000","493,900,000","502,900,000","544,900,000","490,100,000","508,900,000","529,800,000","534,900,000","489,000,000","488,900,000","473,700,000","479,300,000","428,200,000","424,400,000","423,300,000","411,700,000","371,900,000","364,800,000","373,500,000","440,700,000","554,400,000","560,000,000","541,000,000","548,300,000","486,800,000","474,000,000","455,900,000","442,800,000","400,500,000","393,800,000","386,100,000","376,312,000","335,864,000","328,512,000","311,612,000","312,194,000","256,764,000","239,362,000","256,004,000","254,393,000","198,498,000","176,809,000","173,815,000","162,091,000","156,866,000","177,191,000","188,635,000","212,548,000","178,558,000","196,167,000","209,015,000","238,042,000","194,305,000","197,695,000","198,399,000","194,334,000","177,200,000","181,800,000","172,100,000","198,900,000","168,100,000","180,200,000","179,800,000","175,600,000","156,100,000","147,400,000","111,100,000","109,600,000","110,400,000","120,600,000","126,500,000","115,300,000","119,000,000","130,200,000","128,100,000","118,000,000","100,500,000","102,300,000","97,200,000","91,700,000","88,800,000","92,200,000","90,100,000","82,500,000","79,500,000","76,200,000","67,800,000","51,800,000","67,200,000","66,900,000","63,700,000","58,700,000","59,400,000","54,800,000","51,000,000","46,400,000","42,500,000",,,,,,,,,,,,,,,,
OperatingExpense,"3,350,300,000","956,000,000","825,400,000","806,200,000","762,700,000","764,200,000","700,700,000","686,100,000","673,200,000","682,300,000","652,500,000","643,300,000","627,800,000","618,100,000","570,200,000","552,800,000","525,900,000","568,700,000","537,800,000","534,300,000","527,400,000","554,000,000","524,800,000","512,500,000","522,100,000","563,100,000","523,600,000","512,200,000","533,200,000","561,100,000","517,400,000","498,500,000","469,300,000","456,700,000","415,600,000","408,600,000","421,100,000","453,100,000","419,000,000","416,000,000","435,800,000","443,100,000","398,800,000","395,200,000","395,100,000","405,900,000","359,000,000","342,700,000","365,400,000","355,200,000","340,700,000","335,700,000","355,400,000","534,300,000","414,800,000","441,200,000","421,100,000","424,200,000","381,200,000","359,500,000","354,500,000","323,100,000","331,900,000","291,700,000","326,800,000","279,065,000","242,827,000","239,618,000","220,990,000","222,233,000","199,984,000","186,301,000","194,233,000","193,462,000","170,558,000","162,868,000","167,208,000","153,541,000","151,425,000","163,063,000","165,905,000","166,629,000","158,436,000","167,005,000","172,414,000","199,531,000","165,219,000","163,695,000","161,216,000","165,523,000","166,900,000","187,100,000","170,600,000","170,300,000","139,000,000","140,700,000","140,200,000","132,000,000","126,000,000","121,900,000","106,700,000","102,600,000","101,400,000","100,300,000","98,400,000","91,700,000","90,900,000","91,300,000","89,700,000","82,600,000","77,200,000","77,900,000","72,900,000","69,200,000","67,500,000","68,200,000","68,200,000","67,100,000","62,100,000","62,200,000","56,300,000","39,900,000","44,800,000","43,500,000","41,300,000","41,600,000","36,700,000","33,300,000","31,100,000","28,200,000","24,900,000",,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"2,194,800,000","655,400,000","532,200,000","518,200,000","489,000,000","505,900,000","458,100,000","444,100,000","446,100,000","455,500,000","429,800,000","418,200,000","412,400,000","421,500,000","385,000,000","368,200,000","349,300,000","381,600,000","341,300,000","335,600,000","334,000,000","357,700,000","325,400,000","311,700,000","318,700,000","350,600,000","317,600,000","310,900,000","329,800,000","360,300,000","324,000,000","309,100,000","298,800,000","294,300,000","266,600,000","259,700,000","270,300,000","303,700,000","266,000,000","271,100,000","283,100,000","293,600,000","257,600,000","256,000,000","258,500,000","279,000,000","236,200,000","223,400,000","238,200,000","238,400,000","231,400,000","225,900,000","231,300,000","261,400,000","279,600,000","288,000,000","277,400,000","291,800,000","258,000,000","244,600,000","239,800,000","223,100,000","223,000,000","193,700,000","227,400,000","190,346,000","168,793,000","166,623,000","155,138,000","158,994,000","140,042,000","127,959,000","136,352,000","125,299,000","121,996,000","117,114,000","119,816,000","113,558,000","110,220,000","116,377,000","120,495,000","122,210,000","113,601,000","118,248,000","120,948,000","137,883,000","106,365,000","104,127,000","101,955,000","107,390,000","107,600,000","116,100,000","115,200,000","105,300,000","92,700,000","93,700,000","92,500,000","88,300,000","81,500,000","79,500,000","71,000,000","68,600,000","68,700,000","68,900,000","68,000,000","66,200,000","64,700,000","64,900,000","63,800,000","60,200,000","54,700,000","53,900,000","51,600,000","8,400,000","62,200,000","62,900,000","62,800,000","63,900,000","57,800,000","57,500,000","52,100,000","36,200,000","41,100,000","39,500,000","37,800,000","37,700,000","32,600,000","30,300,000","28,600,000","25,800,000","23,200,000",,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"571,700,000","227,600,000","112,800,000","119,400,000","111,900,000","117,100,000","98,800,000","93,200,000","104,800,000","106,000,000","99,100,000","101,400,000","99,100,000","100,700,000","87,400,000","79,100,000","72,900,000","80,100,000","68,800,000","78,000,000","78,300,000","74,100,000","70,400,000","68,600,000","75,800,000","73,200,000","74,200,000","70,100,000","75,900,000","70,400,000","78,900,000","71,500,000","73,400,000","62,000,000","63,200,000","61,600,000","61,500,000","67,700,000","62,100,000","58,700,000","59,900,000","60,100,000","51,400,000","55,000,000","56,600,000","52,100,000","51,100,000","45,900,000","51,700,000","47,100,000","51,100,000","49,500,000","45,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,"28,091,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"571,700,000","227,600,000","112,800,000","119,400,000","111,900,000","117,100,000","98,800,000","93,200,000","104,800,000","106,000,000","99,100,000","101,400,000","99,100,000","100,700,000","87,400,000","79,100,000","72,900,000","80,100,000","68,800,000","78,000,000","78,300,000","74,100,000","70,400,000","68,600,000","75,800,000","73,200,000","74,200,000","70,100,000","75,900,000","70,400,000","78,900,000","71,500,000","73,400,000","62,000,000","63,200,000","61,600,000","61,500,000","67,700,000","62,100,000","58,700,000","59,900,000","60,100,000","51,400,000","55,000,000","56,600,000","52,100,000","51,100,000","45,900,000","51,700,000","47,100,000","51,100,000","49,500,000","45,500,000",,,,,,,,,,,,,,,,,,,,,,,,,,"28,091,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,623,100,000","427,800,000","419,400,000","398,800,000","377,100,000","388,800,000","359,300,000","350,900,000","341,300,000","349,500,000","330,700,000","316,800,000","313,300,000","320,800,000","297,600,000","289,100,000","276,400,000","301,500,000","272,500,000","257,600,000","255,700,000","283,600,000","255,000,000","243,100,000","242,900,000","277,400,000","243,400,000","240,800,000","253,900,000","289,900,000","245,100,000","237,600,000","225,400,000","232,300,000","203,400,000","198,100,000","208,800,000","236,000,000","203,900,000","212,400,000","223,200,000","233,500,000","206,200,000","201,000,000","201,900,000","226,900,000","185,100,000","177,500,000","186,500,000","191,300,000","180,300,000","176,400,000","185,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,"82,129,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"1,114,800,000","290,300,000","282,100,000","276,900,000","265,500,000","249,600,000","233,000,000","232,500,000","217,400,000","217,100,000","213,000,000","215,400,000","205,600,000","190,400,000","181,000,000","180,800,000","172,800,000","182,200,000","191,800,000","193,800,000","187,700,000","187,000,000","192,600,000","193,000,000","195,500,000","204,500,000","197,900,000","193,100,000","194,500,000","191,500,000","183,900,000","179,300,000","170,500,000","162,400,000","149,000,000","148,900,000","150,800,000","149,400,000","153,000,000","144,900,000","152,700,000","149,500,000","141,200,000","139,200,000","136,600,000","126,900,000","122,800,000","119,300,000","127,200,000","116,800,000","109,300,000","109,800,000","124,100,000","144,000,000","135,200,000","153,200,000","143,700,000","132,400,000","123,200,000","114,900,000","114,700,000","100,000,000","108,900,000","98,000,000","99,400,000","88,719,000","74,034,000","72,995,000","65,852,000","63,239,000","59,942,000","58,342,000","57,881,000","67,641,000","48,562,000","45,754,000","47,392,000","39,957,000","41,179,000","46,642,000","45,207,000","39,195,000","39,637,000","43,583,000","46,159,000","45,302,000","42,658,000","42,272,000","40,255,000","39,585,000","41,200,000","44,700,000","38,600,000","35,000,000","37,300,000","35,100,000","35,400,000","31,300,000","33,100,000","30,400,000","27,600,000","24,200,000","23,700,000","22,900,000","22,900,000","20,500,000","19,600,000","19,500,000","19,200,000","16,700,000","16,000,000","16,900,000","15,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"40,700,000","10,300,000","11,100,000","11,100,000","8,200,000","8,700,000","9,600,000","9,500,000","9,700,000","9,700,000","9,700,000","9,700,000","9,800,000","6,200,000","4,200,000","3,800,000","3,800,000","4,900,000","4,700,000","4,900,000","5,700,000","9,300,000","6,800,000","7,800,000","7,900,000","8,000,000","8,100,000","8,200,000","8,900,000","9,300,000","9,500,000","10,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,000","26,000","44,000","203,000","5,224,000","5,198,000","5,174,000","5,307,000","16,346,000","16,196,000","17,296,000","19,006,000","18,548,000","18,100,000","26,300,000","16,800,000","30,000,000","9,000,000","11,900,000","12,300,000","12,400,000","11,400,000","12,000,000","8,100,000","9,800,000","9,000,000","8,500,000","7,500,000","5,000,000","6,600,000","6,900,000","6,700,000","5,700,000","6,500,000","7,100,000","5,700,000","4,600,000","5,300,000","5,300,000","5,400,000","3,200,000","4,300,000","4,700,000","4,200,000","3,700,000","3,700,000","4,000,000","3,500,000","3,900,000","4,100,000","3,000,000","2,500,000","2,400,000","1,700,000",,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"40,700,000","10,300,000","11,100,000","11,100,000","8,200,000","8,700,000","9,600,000","9,500,000","9,700,000","9,700,000","9,700,000","9,700,000","9,800,000","6,200,000","4,200,000","3,800,000","3,800,000","4,900,000","4,700,000","4,900,000","5,700,000","9,300,000","6,800,000","7,800,000","7,900,000","8,000,000","8,100,000","8,200,000","8,900,000","9,300,000","9,500,000","10,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,000","26,000","44,000","203,000","5,224,000","5,198,000","5,174,000","5,307,000","16,346,000","16,196,000","17,296,000","19,006,000","18,548,000","18,100,000","26,300,000","16,800,000","30,000,000","9,000,000","11,900,000","12,300,000","12,400,000","11,400,000","12,000,000","8,100,000","9,800,000","9,000,000","8,500,000","7,500,000","5,000,000","6,600,000","6,900,000","6,700,000","5,700,000","6,500,000","7,100,000","5,700,000","4,600,000","5,300,000","5,300,000","5,400,000","3,200,000","4,300,000","4,700,000","4,200,000","3,700,000","3,700,000","4,000,000","3,500,000","3,900,000","4,100,000","3,000,000","2,500,000","2,400,000","1,700,000",,,,,,,,,,,,,,,,
			Amortization,"40,700,000","10,300,000","11,100,000","11,100,000","8,200,000","8,700,000","9,600,000","9,500,000","9,700,000","9,700,000","9,700,000","9,700,000","9,800,000","6,200,000","4,200,000","3,800,000","3,800,000","4,900,000","4,700,000","4,900,000","5,700,000","9,300,000","6,800,000","7,800,000","7,900,000","8,000,000","8,100,000","8,200,000","8,900,000","9,300,000","9,500,000","10,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,000","26,000","44,000","203,000","5,224,000","5,198,000","5,174,000","5,307,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationOfIntangiblesIncomeStatement,"40,700,000","10,300,000","11,100,000","11,100,000","8,200,000","8,700,000","9,600,000","9,500,000","9,700,000","9,700,000","9,700,000","9,700,000","9,800,000","6,200,000","4,200,000","3,800,000","3,800,000","4,900,000","4,700,000","4,900,000","5,700,000","9,300,000","6,800,000","7,800,000","7,900,000","8,000,000","8,100,000","8,200,000","8,900,000","9,300,000","9,500,000","10,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"26,000","26,000","44,000","203,000","5,224,000","5,198,000","5,174,000","5,307,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"617,600,000","142,400,000","193,300,000","148,100,000","133,800,000","184,400,000","168,000,000","146,100,000","130,600,000","133,800,000","110,700,000","74,000,000","25,000,000","42,200,000","18,400,000","-10,900,000","-32,800,000","-88,000,000","-100,000,000","-107,100,000","-119,900,000","-158,100,000","-116,700,000","-46,900,000","-102,700,000","-9,700,000","-14,800,000","4,300,000","21,500,000","14,000,000","14,600,000","50,700,000","44,500,000","58,000,000","72,500,000","85,300,000","81,800,000","91,800,000","71,100,000","92,900,000","94,000,000","91,800,000","90,200,000","93,700,000","78,600,000","73,400,000","69,200,000","81,700,000","57,900,000","56,500,000","31,200,000","29,100,000","18,100,000","-93,600,000","139,600,000","118,800,000","119,900,000","124,100,000","105,600,000","114,500,000","101,400,000","119,700,000","68,600,000","102,100,000","59,300,000","97,247,000","93,037,000","88,894,000","90,622,000","89,961,000","56,780,000","53,061,000","61,771,000","60,931,000","27,940,000","13,941,000","6,607,000","8,550,000","5,441,000","14,128,000","22,730,000","45,919,000","20,122,000","29,162,000","36,601,000","38,511,000","29,086,000","34,000,000","37,183,000","28,811,000","10,300,000","-5,300,000","1,500,000","28,600,000","29,100,000","39,500,000","39,600,000","43,600,000","30,100,000","25,500,000","4,400,000","7,000,000","9,000,000","20,300,000","28,100,000","23,600,000","28,100,000","38,900,000","38,400,000","35,400,000","23,300,000","24,400,000","24,300,000","22,500,000","21,300,000","24,000,000","21,900,000","15,400,000","17,400,000","14,000,000","11,500,000","11,900,000","22,400,000","23,400,000","22,400,000","17,100,000","22,700,000","21,500,000","19,900,000","18,200,000","17,600,000","43,400,000","38,800,000","-36,400,000","30,300,000","27,300,000","25,800,000","-25,000,000","20,200,000","18,800,000","17,300,000","-15,300,000","13,700,000","12,200,000","11,000,000","-7,200,000","7,700,000"
NetNonOperatingInterestIncomeExpense,"-65,000,000","-25,800,000","-15,800,000","-12,800,000","-10,600,000","-6,200,000","-14,600,000","-8,000,000","-22,300,000","-11,700,000","-13,900,000","-15,400,000","-13,000,000","-15,500,000","-14,700,000","-8,700,000","-13,200,000","-8,400,000","-9,200,000","-10,000,000","-6,900,000","-7,200,000","-9,700,000","-6,200,000","-6,500,000","-12,900,000","-11,000,000","-8,000,000","-2,000,000","-4,700,000","-2,800,000","-3,300,000","-2,400,000","-3,000,000","-1,800,000","-1,900,000","-3,100,000","2,300,000","-100,000","800,000","3,500,000","2,100,000","500,000","0","3,100,000","11,700,000","2,500,000","100,000","3,500,000","1,400,000","3,100,000","3,600,000","1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"800,000","3,500,000",,,,,,,,,,,"10,700,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"65,000,000","25,800,000","15,800,000","12,800,000","10,600,000","6,200,000","14,600,000","8,000,000","22,300,000","11,700,000","13,900,000","15,400,000","13,000,000","15,500,000","14,700,000","8,700,000","13,200,000","8,400,000","9,200,000","10,000,000","6,900,000","7,200,000","9,700,000","6,200,000","6,500,000","12,900,000","11,000,000","8,000,000","2,000,000","4,700,000","2,800,000","3,300,000","2,400,000","3,000,000","1,800,000","1,900,000","3,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"52,900,000","35,300,000",,,"2,400,000",,"11,900,000","17,100,000","40,100,000","10,500,000","14,200,000","7,300,000","16,200,000","7,300,000","3,200,000","-1,300,000","8,500,000","16,400,000","11,200,000","18,800,000","1,800,000","1,100,000","9,400,000","10,100,000","3,600,000","10,800,000","7,700,000","3,400,000","-300,000","21,100,000","3,000,000","7,000,000","6,600,000","3,000,000","1,800,000","1,900,000","3,100,000","-1,500,000","100,000","800,000","-3,500,000",,"-500,000","800,000","-3,100,000","-11,700,000","-2,500,000","-100,000","-3,500,000","-1,400,000","-3,100,000","-3,600,000","-1,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"12,100,000","-9,500,000","9,900,000","3,500,000","8,200,000","-7,100,000","2,700,000","-9,100,000","-17,800,000","1,200,000","-400,000","7,900,000","-3,400,000","6,300,000","7,800,000","-3,800,000","-17,800,000","-101,900,000","-2,000,000","-9,300,000","5,400,000","-2,900,000","-2,900,000","-19,900,000","-49,400,000","2,100,000","3,300,000","4,600,000","2,300,000","-16,400,000","-200,000","-4,500,000","-6,500,000","1,300,000","-1,500,000","-1,600,000","-6,100,000","-8,000,000","-36,700,000","-1,600,000",,"-1,000,000","600,000","500,000","2,800,000","-12,100,000",,"-1,900,000","-14,000,000","800,000","-2,300,000","-19,300,000","-39,300,000","-171,400,000","-6,200,000","2,700,000","100,000","-1,900,000","-2,700,000","-5,300,000","800,000",,,,,,,,,"-11,811,000","-2,922,000","-3,717,000","-8,250,000",,,,,"-7,324,000","-13,286,000","-3,735,000","-1,542,000","-16,566,000","2,171,000","-9,774,000","-1,211,000","-2,834,000","-5,462,000","-5,314,000","-1,445,000","1,752,000","-14,700,000",,"-17,300,000","18,200,000","2,300,000","-13,100,000","2,200,000","2,200,000","2,600,000","2,400,000","-55,700,000","2,200,000","100,000","-1,800,000","1,400,000","2,000,000","2,200,000","2,600,000","2,500,000","-23,400,000","1,800,000","1,700,000","1,600,000","1,300,000","2,000,000","1,600,000","2,100,000","2,500,000","3,000,000","3,000,000","3,200,000","3,400,000","3,400,000","2,800,000","2,500,000","3,100,000","3,200,000","2,600,000","2,200,000","2,600,000","1,900,000",,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"4,400,000","-11,000,000","9,000,000","-700,000","7,100,000","-8,900,000","-1,300,000","-9,600,000","-18,400,000","1,400,000","-1,000,000","4,500,000","-4,300,000","2,900,000","4,100,000","5,800,000","4,800,000","-9,000,000","-2,200,000","-13,200,000","4,700,000","-900,000","800,000","-4,800,000","1,800,000","2,100,000","-400,000","2,700,000","-600,000","-16,500,000","-300,000","-3,600,000","-6,800,000","7,700,000","100,000","-100,000","-5,500,000",,,"1,500,000",,,,,,,,"-2,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-700,000","-5,000,000","-1,100,000",,,,,,,,,,,,,,,,,,,,,"0",,,"-1,211,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
