name,ttm,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989,12/31/1988,09/30/1988,06/30/1988,03/31/1988,12/31/1987,09/30/1987,06/30/1987,03/31/1987,12/31/1986,09/30/1986,06/30/1986,03/31/1986,12/31/1985,09/30/1985
TotalRevenue,"14,905,000,000","3,331,000,000","5,299,000,000","3,315,000,000","2,960,000,000","3,157,000,000","4,644,000,000","2,987,000,000","2,790,000,000","2,970,000,000","3,741,000,000","2,812,000,000","2,824,000,000","3,009,000,000","4,269,000,000","2,815,000,000","2,564,000,000","3,220,000,000","3,672,000,000","2,965,000,000","2,463,000,000","2,884,000,000","3,767,000,000","2,777,000,000","2,440,000,000","2,341,000,000","3,763,000,000","2,908,000,000","2,512,000,000","3,115,000,000","4,356,000,000","3,016,000,000","2,926,000,000","2,943,000,000","3,960,000,000","3,046,000,000","2,632,000,000","2,062,000,000","4,070,000,000","3,057,000,000","2,856,000,000","3,014,000,000","3,981,000,000","2,983,000,000","2,782,000,000","3,069,000,000","3,788,000,000","2,741,000,000","2,810,000,000","3,023,000,000","3,664,000,000","2,834,000,000","2,812,000,000","3,536,000,000","4,111,000,000","3,382,000,000","3,083,000,000","3,211,000,000","3,942,000,000","3,047,000,000","2,912,000,000","3,067,000,000","3,802,000,000","3,001,000,000","2,751,000,000","2,974,000,000","3,783,000,000","2,649,000,000","2,446,000,000","2,359,000,000","3,188,000,000","2,919,000,000","2,510,000,000","2,656,000,000","3,833,000,000","3,133,000,000","2,532,000,000","1,978,000,000","3,997,000,000","2,926,000,000","2,587,000,000","2,304,000,000","4,043,000,000","2,627,000,000","2,462,000,000","2,591,313,000","3,653,203,000","2,749,164,000","2,723,320,000","2,509,300,000","2,957,000,000","2,116,000,000","2,087,700,000","2,614,900,000","3,440,800,000","2,242,700,000","1,909,600,000","2,329,300,000","2,737,800,000","2,167,200,000","2,000,700,000","2,195,400,000","2,568,200,000","1,813,700,000","1,967,700,000","2,052,100,000","2,670,000,000","1,860,800,000","1,822,000,000","2,042,100,000","2,678,100,000","1,858,500,000","1,728,700,000","1,844,400,000","2,423,900,000","1,767,700,000","1,785,000,000","1,954,100,000","2,550,000,000","1,765,500,000","1,714,400,000","1,886,600,000","2,250,800,000","1,695,100,000","1,670,000,000","1,755,300,000","2,257,600,000","1,594,800,000","1,590,800,000","1,239,700,000","2,182,200,000","1,572,200,000","1,530,000,000","1,538,700,000","2,029,000,000","1,353,000,000","1,332,000,000","1,346,000,000","1,487,500,000","1,331,600,000","1,283,700,000","1,274,800,000","1,550,000,000","1,210,700,000","1,240,000,000","1,272,300,000","1,451,700,000"
	OperatingRevenue,"14,905,000,000","3,331,000,000","5,299,000,000","3,315,000,000","2,960,000,000","3,157,000,000","4,644,000,000","2,987,000,000","2,790,000,000","2,970,000,000","3,741,000,000","2,812,000,000","2,824,000,000","3,009,000,000","4,269,000,000","2,815,000,000","2,564,000,000","3,220,000,000","3,672,000,000","2,965,000,000","2,463,000,000","2,884,000,000","3,767,000,000","2,777,000,000","2,440,000,000","2,341,000,000","3,763,000,000","2,908,000,000","2,512,000,000","3,115,000,000","4,356,000,000","3,016,000,000","2,926,000,000","2,943,000,000","3,960,000,000","3,046,000,000","2,632,000,000","2,048,000,000","4,070,000,000","3,057,000,000","2,856,000,000","3,014,000,000","3,981,000,000","2,983,000,000","2,782,000,000","3,069,000,000","3,788,000,000","2,741,000,000","2,810,000,000","3,023,000,000","3,664,000,000","2,834,000,000","2,812,000,000","3,536,000,000","4,111,000,000","3,382,000,000","3,083,000,000","3,211,000,000","3,942,000,000","3,047,000,000","2,912,000,000","3,067,000,000","3,802,000,000","3,001,000,000","2,751,000,000","2,974,000,000","3,783,000,000","2,649,000,000","2,446,000,000","2,359,000,000","3,188,000,000","2,919,000,000","2,510,000,000","2,656,000,000","3,833,000,000","3,133,000,000","2,532,000,000","1,978,000,000","3,997,000,000","2,926,000,000","2,587,000,000","2,304,000,000","4,043,000,000","2,627,000,000","2,462,000,000","2,591,313,000","3,653,203,000","2,749,164,000","2,723,320,000","2,509,300,000","2,957,000,000","2,116,000,000","2,087,700,000","2,614,900,000","3,440,800,000","2,242,700,000","1,909,600,000","2,329,300,000","2,737,800,000","2,167,200,000","2,000,700,000","2,195,400,000","2,568,200,000","1,813,700,000","1,967,700,000","2,052,100,000","2,670,000,000","1,860,800,000","1,822,000,000","2,042,100,000","2,678,100,000","1,858,500,000","1,728,700,000","1,844,400,000","2,423,900,000","1,767,700,000","1,785,000,000","1,954,100,000","2,550,000,000","1,765,500,000","1,714,400,000","1,886,600,000","2,250,800,000","1,695,100,000","1,670,000,000","1,755,300,000","2,257,600,000","1,594,800,000","1,590,800,000","1,239,700,000","2,182,200,000","1,572,200,000","1,530,000,000","1,538,700,000","2,029,000,000","1,353,000,000","1,332,000,000","1,346,000,000","1,487,500,000","1,331,600,000","1,283,700,000","1,274,800,000","1,550,000,000","1,210,700,000","1,240,000,000","1,272,300,000","1,451,700,000"
CostOfRevenue,"9,185,000,000","1,984,000,000","3,310,000,000","2,037,000,000","1,857,000,000","1,843,000,000","3,065,000,000","1,830,000,000","1,809,000,000","1,691,000,000","2,549,000,000","1,730,000,000","1,887,000,000","1,791,000,000","2,980,000,000","1,831,000,000","1,601,000,000","1,922,000,000","2,496,000,000","1,882,000,000","1,380,000,000","1,729,000,000","2,459,000,000","1,785,000,000","1,423,000,000","1,449,000,000","2,565,000,000","1,821,000,000","1,422,000,000","1,699,000,000","3,061,000,000","2,027,000,000","1,954,000,000","2,046,000,000","2,779,000,000","2,124,000,000","1,726,000,000","4,316,000,000","1,882,000,000","1,098,000,000","898,000,000","867,000,000","1,616,000,000","905,000,000","766,000,000","888,000,000","1,446,000,000","866,000,000","903,000,000","993,000,000","1,438,000,000","911,000,000","927,000,000","1,156,000,000","2,597,000,000","1,210,000,000","1,028,000,000","1,143,000,000","1,786,000,000","1,267,000,000","803,000,000","1,021,000,000","1,522,000,000","1,149,000,000","1,476,000,000","1,490,000,000","991,000,000","1,142,000,000","807,000,000","729,000,000","1,330,000,000","992,000,000","922,000,000","924,000,000","1,399,000,000","1,015,000,000","786,000,000","675,000,000","1,142,000,000","866,000,000","520,000,000","548,000,000","1,162,000,000","1,136,000,000","2,053,000,000","1,930,494,000","2,251,202,000","945,578,000","835,725,000","1,059,000,000","1,315,200,000","638,600,000","841,300,000","1,307,000,000","2,090,800,000","969,500,000","743,800,000","953,300,000","1,363,900,000","782,000,000","828,900,000","892,100,000","1,188,000,000","723,200,000","670,600,000","804,600,000","1,131,100,000","688,700,000","651,600,000","837,000,000","1,197,200,000","736,000,000","681,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrossProfit,"5,720,000,000","1,347,000,000","1,989,000,000","1,278,000,000","1,103,000,000","1,314,000,000","1,579,000,000","1,157,000,000","981,000,000","1,279,000,000","1,192,000,000","1,082,000,000","937,000,000","1,218,000,000","1,289,000,000","984,000,000","963,000,000","1,298,000,000","1,176,000,000","1,083,000,000","1,083,000,000","1,155,000,000","1,308,000,000","992,000,000","1,017,000,000","892,000,000","1,198,000,000","1,087,000,000","1,090,000,000","1,416,000,000","1,295,000,000","989,000,000","972,000,000","897,000,000","1,181,000,000","922,000,000","906,000,000","-2,254,000,000","2,188,000,000","1,959,000,000","1,958,000,000","2,147,000,000","2,365,000,000","2,078,000,000","2,016,000,000","2,181,000,000","2,342,000,000","1,875,000,000","1,907,000,000","2,030,000,000","2,226,000,000","1,923,000,000","1,885,000,000","2,380,000,000","1,514,000,000","2,172,000,000","2,055,000,000","2,068,000,000","2,156,000,000","1,780,000,000","2,109,000,000","2,046,000,000","2,280,000,000","1,852,000,000","1,275,000,000","1,484,000,000","2,792,000,000","1,507,000,000","1,639,000,000","1,630,000,000","1,858,000,000","1,927,000,000","1,588,000,000","1,732,000,000","2,434,000,000","2,118,000,000","1,746,000,000","1,303,000,000","2,855,000,000","2,060,000,000","2,067,000,000","1,756,000,000","2,881,000,000","1,491,000,000","409,000,000","660,819,000","1,402,001,000","1,803,586,000","1,887,595,000","1,450,300,000","1,641,800,000","1,477,400,000","1,246,400,000","1,307,900,000","1,350,000,000","1,273,200,000","1,165,800,000","1,376,000,000","1,373,900,000","1,385,200,000","1,171,800,000","1,303,300,000","1,380,200,000","1,090,500,000","1,297,100,000","1,247,500,000","1,538,900,000","1,172,100,000","1,170,400,000","1,205,100,000","1,480,900,000","1,122,500,000","1,046,800,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingExpense,"4,174,000,000","724,000,000","2,039,000,000","704,000,000","704,000,000","590,000,000","1,986,000,000","675,000,000","679,000,000","974,000,000","556,000,000","412,000,000","589,000,000","3,241,000,000","561,000,000","559,000,000","567,000,000","598,000,000","615,000,000","598,000,000","599,000,000","588,000,000","613,000,000","590,000,000","569,000,000","549,000,000","590,000,000","563,000,000","552,000,000","794,000,000","424,000,000","414,000,000","410,000,000","398,000,000","392,000,000","418,000,000","414,000,000","-3,271,000,000","1,617,000,000","1,676,000,000","1,640,000,000","1,694,000,000","1,555,000,000","1,698,000,000","1,566,000,000","1,720,000,000","1,480,000,000","1,524,000,000","1,409,000,000","728,000,000","1,458,000,000","2,287,000,000","1,332,000,000","1,885,000,000","550,000,000","1,722,000,000","1,444,000,000","1,583,000,000","1,257,000,000","1,520,000,000","1,482,000,000","1,576,000,000","1,317,000,000","1,405,000,000","815,000,000","882,000,000","2,004,000,000","1,098,000,000","1,191,000,000","1,183,000,000","1,065,000,000","2,207,000,000","1,232,000,000","1,406,000,000","1,509,000,000","1,890,000,000","1,430,000,000","-103,000,000","2,025,000,000","794,000,000","1,700,000,000","-1,293,000,000","3,050,000,000","1,270,000,000","1,089,000,000","2,154,953,000","440,342,000","1,246,855,000","1,364,854,000","1,328,200,000","1,201,000,000","1,180,700,000","1,126,200,000","1,103,200,000","1,262,400,000","390,100,000","941,300,000","1,026,500,000","902,900,000","946,700,000","806,900,000","935,600,000","750,000,000","832,300,000","738,200,000","800,000,000","741,500,000","740,100,000","712,300,000","856,600,000","733,800,000","755,700,000","696,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SellingGeneralAndAdministration,"1,491,000,000","54,000,000","1,327,000,000","54,000,000","53,000,000","109,000,000","1,382,000,000","83,000,000","84,000,000","347,000,000",,,,"2,669,000,000",,,,,"12,000,000",,,,,,,,,,,,,,,"6,000,000",,,,,,,,,,,"0",,"0","0",,,,"866,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GeneralAndAdministrativeExpense,"1,491,000,000","54,000,000","1,327,000,000","54,000,000","53,000,000","109,000,000","1,382,000,000","83,000,000","84,000,000","347,000,000",,,,"2,669,000,000",,,,,"12,000,000",,,,,,,,,,,,,,,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InsuranceAndClaims,"1,491,000,000","54,000,000","1,327,000,000","54,000,000","53,000,000","109,000,000","1,382,000,000","83,000,000","84,000,000","347,000,000",,,,"2,669,000,000",,,,,"12,000,000",,,,,,,,,,,,,,,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	DepreciationAmortizationDepletionIncomeStatement,"2,218,000,000","561,000,000","599,000,000","533,000,000","525,000,000","504,000,000","490,000,000","489,000,000","484,000,000","470,000,000","459,000,000","321,000,000","480,000,000","480,000,000","466,000,000","463,000,000","462,000,000","506,000,000","524,000,000","512,000,000","499,000,000","503,000,000","521,000,000","505,000,000","477,000,000","468,000,000","506,000,000","481,000,000","463,000,000","472,000,000","424,000,000","414,000,000","410,000,000","398,000,000","392,000,000","418,000,000","414,000,000","173,000,000","465,000,000","467,000,000","456,000,000","449,000,000","436,000,000","435,000,000","417,000,000","395,000,000","378,000,000","380,000,000","369,000,000","365,000,000","365,000,000","347,000,000","342,000,000","420,000,000","262,000,000","333,000,000","298,000,000","327,000,000","310,000,000","313,000,000","313,000,000","257,000,000","293,000,000","339,000,000","292,000,000","265,000,000","270,000,000","267,000,000","259,000,000","270,000,000","232,000,000","302,000,000","295,000,000","358,000,000","286,000,000","252,000,000","289,000,000","264,000,000","258,000,000","263,000,000","245,000,000","179,000,000","267,000,000","267,000,000","260,000,000","417,880,000","535,009,000","485,846,000","494,265,000","497,100,000","512,900,000","451,700,000","444,300,000","482,900,000","456,400,000","452,300,000","439,400,000","364,600,000","367,200,000","364,500,000","353,700,000","321,300,000","328,300,000","325,900,000","293,500,000","289,400,000","276,400,000","264,500,000","256,800,000","251,900,000","278,800,000","283,200,000","265,100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"2,218,000,000","561,000,000","599,000,000","533,000,000","525,000,000","504,000,000","490,000,000","489,000,000","484,000,000","470,000,000","459,000,000","321,000,000","480,000,000","480,000,000","466,000,000","463,000,000","462,000,000","506,000,000","524,000,000","512,000,000","499,000,000","503,000,000","521,000,000","505,000,000","477,000,000","468,000,000","506,000,000","481,000,000","463,000,000","472,000,000","424,000,000","414,000,000","410,000,000","398,000,000","392,000,000","418,000,000","414,000,000","173,000,000","465,000,000","467,000,000","456,000,000","449,000,000","436,000,000","435,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherTaxes,"465,000,000","109,000,000","113,000,000","117,000,000","126,000,000","110,000,000","114,000,000","103,000,000","111,000,000","97,000,000","99,000,000","93,000,000","110,000,000","94,000,000","97,000,000","97,000,000","107,000,000","93,000,000","98,000,000","86,000,000","100,000,000","85,000,000","92,000,000","85,000,000","92,000,000","81,000,000","84,000,000","82,000,000","89,000,000","87,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"56,000,000","54,000,000","56,000,000","50,000,000","51,000,000","50,000,000","52,000,000","38,000,000","50,000,000","57,000,000","51,000,000","54,000,000","54,000,000","51,000,000","51,000,000","35,000,000","35,000,000","36,000,000","39,000,000","26,000,000","28,000,000","29,000,000","30,000,000","28,552,000","30,338,000","30,035,000","40,076,000","25,400,000","29,900,000","29,600,000","39,100,000","26,600,000","32,500,000","33,200,000","40,800,000","28,700,000","32,300,000","32,700,000","40,300,000","44,500,000","46,900,000","45,900,000","59,700,000","51,000,000","50,600,000","53,600,000","54,800,000","49,600,000","54,100,000","52,800,000","54,600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
